Epoch	AverageEpReturns	StdEpReturns	EpLength
0	110.70497	0.0	250.0
1	414.27267	0.0	1000.0
2	215.6934	0.0	446.0
3	419.57193	0.0	1000.0
4	448.4541	0.0	1000.0
5	3.839816	0.0	20.0
6	122.766495	49.9658	269.5
7	435.4374	0.0	1000.0
8	13.970375	0.0	34.0
9	197.51898	191.67616	422.0
10	35.408585	0.0	86.0
11	324.46695	0.0	621.0
12	526.9569	0.0	1000.0
13	468.53522	0.0	1000.0
14	464.93716	0.0	1000.0
15	431.01685	0.0	1000.0
16	483.14078	0.0	1000.0
17	60.369656	39.875828	131.5
18	401.49802	0.0	1000.0
19	3.8617342	0.0	20.0
20	371.36362	0.0	759.0
21	325.60385	0.0	631.0
22	205.93573	201.15298	466.5
23	249.12997	204.70978	447.5
24	35.560673	0.0	82.0
25	481.43262	0.0	1000.0
26	494.45844	0.0	1000.0
27	515.36	0.0	1000.0
28	550.9234	0.0	1000.0
29	516.998	0.0	1000.0
30	478.4267	0.0	1000.0
31	406.27444	0.0	1000.0
32	461.6189	0.0	1000.0
33	237.77414	23.80069	464.0
34	154.57918	0.0	296.0
35	424.3851	0.0	1000.0
36	507.87817	0.0	1000.0
37	514.7975	0.0	1000.0
38	37.53787	0.0	100.0
39	192.58345	0.0	390.0
40	106.56187	80.333046	232.66667
41	519.07544	0.0	1000.0
42	189.24854	0.0	327.0
43	163.04857	0.0	284.0
44	488.848	0.0	1000.0
45	512.82	0.0	1000.0
46	498.81906	0.0	1000.0
47	531.0946	0.0	1000.0
48	498.2732	0.0	1000.0
49	99.19475	0.0	222.0
50	487.04126	0.0	1000.0
51	498.91754	0.0	1000.0
52	273.2154	0.0	527.0
53	597.52185	0.0	1000.0
54	61.450783	55.656525	147.5
55	472.62994	0.0	1000.0
56	471.21854	0.0	1000.0
57	410.10815	0.0	1000.0
58	538.9385	0.0	1000.0
59	500.31958	0.0	1000.0
60	496.60107	0.0	1000.0
61	569.9929	0.0	1000.0
62	496.24887	0.0	1000.0
63	499.17288	0.0	1000.0
64	109.60154	0.0	257.0
65	500.70834	0.0	1000.0
66	529.8179	0.0	1000.0
67	46.673782	0.0	114.0
68	371.29	0.0	703.0
69	515.4512	0.0	1000.0
70	536.93256	0.0	1000.0
71	534.8929	0.0	1000.0
72	2.26491	0.0	21.0
73	529.56793	0.0	1000.0
74	234.7432	6.867462	463.5
75	446.63406	0.0	1000.0
76	493.6905	0.0	1000.0
77	544.1198	0.0	1000.0
78	525.7765	0.0	1000.0
79	523.0392	0.0	1000.0
80	483.36597	0.0	1000.0
81	548.30133	0.0	1000.0
82	555.8565	0.0	1000.0
83	399.72055	0.0	1000.0
84	621.11395	0.0	1000.0
85	566.2493	0.0	1000.0
86	564.4073	0.0	1000.0
87	464.24774	0.0	1000.0
88	424.1629	0.0	1000.0
89	263.1506	0.0	488.0
90	483.8637	0.0	1000.0
91	562.9629	0.0	1000.0
92	527.12805	0.0	1000.0
93	542.93616	0.0	1000.0
94	501.39697	0.0	1000.0
95	470.35452	0.0	1000.0
96	473.67157	0.0	1000.0
97	547.2328	0.0	1000.0
98	622.0681	0.0	1000.0
99	520.7308	0.0	1000.0
100	547.60565	0.0	1000.0
101	553.45	0.0	1000.0
102	497.04578	0.0	1000.0
103	506.3703	0.0	1000.0
104	245.61307	0.0	509.0
105	505.57745	0.0	1000.0
106	523.10876	0.0	1000.0
107	535.84576	0.0	1000.0
108	520.5078	0.0	1000.0
109	530.95074	0.0	1000.0
110	501.01004	0.0	1000.0
111	582.0276	0.0	1000.0
112	534.78296	0.0	1000.0
113	461.46533	0.0	1000.0
114	537.6404	0.0	1000.0
115	565.8819	0.0	1000.0
116	642.77686	0.0	1000.0
117	603.1555	0.0	1000.0
118	550.85547	0.0	1000.0
119	546.2748	0.0	1000.0
120	476.22495	0.0	1000.0
121	240.0705	0.0	426.0
122	577.46967	0.0	1000.0
123	545.91235	0.0	1000.0
124	588.85724	0.0	1000.0
125	362.9342	0.0	623.0
126	549.43353	0.0	1000.0
127	525.198	0.0	1000.0
128	558.9987	0.0	1000.0
129	588.7132	0.0	1000.0
130	615.7361	0.0	1000.0
131	524.0128	0.0	1000.0
132	614.4966	0.0	1000.0
133	535.3406	0.0	1000.0
134	634.2617	0.0	1000.0
135	596.1079	0.0	1000.0
136	583.5746	0.0	1000.0
137	570.2743	0.0	1000.0
138	524.1714	0.0	1000.0
139	509.13498	0.0	1000.0
140	426.817	0.0	1000.0
141	568.0267	0.0	1000.0
142	502.02234	0.0	1000.0
143	588.5229	0.0	1000.0
144	602.5588	0.0	1000.0
145	675.3544	0.0	1000.0
146	545.4993	0.0	1000.0
147	599.4074	0.0	1000.0
148	528.3661	0.0	1000.0
149	589.56586	0.0	1000.0
150	312.1105	0.0	1000.0
151	506.43488	0.0	1000.0
152	516.6573	0.0	1000.0
153	631.40155	0.0	1000.0
154	590.64966	0.0	1000.0
155	624.04095	0.0	1000.0
156	648.3874	0.0	1000.0
157	657.29803	0.0	1000.0
158	562.10455	0.0	1000.0
159	516.8433	0.0	1000.0
160	597.5313	0.0	1000.0
161	669.39154	0.0	1000.0
162	550.2658	0.0	1000.0
163	508.68677	0.0	1000.0
164	560.34296	0.0	1000.0
165	627.7083	0.0	1000.0
166	473.24603	0.0	1000.0
167	626.2906	0.0	1000.0
168	579.611	0.0	1000.0
169	543.99384	0.0	1000.0
170	576.60266	0.0	1000.0
171	611.2452	0.0	1000.0
172	584.3334	0.0	1000.0
173	622.12164	0.0	1000.0
174	538.9211	0.0	1000.0
175	615.2436	0.0	1000.0
176	630.83746	0.0	1000.0
177	596.2615	0.0	1000.0
178	507.18042	0.0	1000.0
179	664.1618	0.0	1000.0
180	612.9214	0.0	1000.0
181	642.09534	0.0	1000.0
182	640.21606	0.0	1000.0
183	547.1501	0.0	1000.0
184	671.8278	0.0	1000.0
185	592.00446	0.0	1000.0
186	613.8626	0.0	1000.0
187	607.87244	0.0	1000.0
188	666.6988	0.0	1000.0
189	594.4228	0.0	1000.0
190	671.4208	0.0	1000.0
191	523.81085	0.0	1000.0
192	668.7434	0.0	1000.0
193	636.79626	0.0	1000.0
194	584.5524	0.0	1000.0
195	627.3504	0.0	1000.0
196	663.7844	0.0	1000.0
197	536.2735	0.0	1000.0
198	611.1307	0.0	1000.0
199	572.8801	0.0	1000.0
200	548.1394	0.0	1000.0
201	538.02625	0.0	1000.0
202	501.2814	0.0	1000.0
203	560.9685	0.0	1000.0
204	537.4968	0.0	1000.0
205	616.5707	0.0	1000.0
206	605.1247	0.0	1000.0
207	590.9784	0.0	1000.0
208	699.31323	0.0	1000.0
209	662.16656	0.0	1000.0
210	649.17053	0.0	1000.0
211	631.6767	0.0	1000.0
212	546.7878	0.0	1000.0
213	578.55505	0.0	1000.0
214	517.6602	0.0	1000.0
215	646.34235	0.0	1000.0
216	663.65625	0.0	1000.0
217	639.3408	0.0	1000.0
218	605.9585	0.0	1000.0
219	647.91595	0.0	1000.0
220	590.41046	0.0	1000.0
221	628.47577	0.0	1000.0
222	648.3897	0.0	1000.0
223	597.595	0.0	1000.0
224	558.97076	0.0	1000.0
225	601.7445	0.0	1000.0
226	709.918	0.0	1000.0
227	712.92993	0.0	1000.0
228	585.6143	0.0	1000.0
229	661.01117	0.0	1000.0
230	634.17786	0.0	1000.0
231	671.93884	0.0	1000.0
232	601.8276	0.0	1000.0
233	583.4295	0.0	1000.0
234	657.15607	0.0	1000.0
235	596.4786	0.0	1000.0
236	552.90076	0.0	1000.0
237	576.3124	0.0	1000.0
238	637.7918	0.0	1000.0
239	550.8608	0.0	1000.0
240	597.4441	0.0	1000.0
241	681.5833	0.0	1000.0
242	582.8432	0.0	1000.0
243	577.06573	0.0	1000.0
244	653.1312	0.0	1000.0
245	574.92596	0.0	1000.0
246	611.0366	0.0	1000.0
247	661.3388	0.0	1000.0
248	600.7086	0.0	1000.0
249	709.86444	0.0	1000.0
250	654.90497	0.0	1000.0
251	635.45715	0.0	1000.0
252	554.0473	0.0	1000.0
253	605.37164	0.0	1000.0
254	573.2097	0.0	1000.0
255	596.7584	0.0	1000.0
256	663.924	0.0	1000.0
257	663.5872	0.0	1000.0
258	695.827	0.0	1000.0
259	628.4243	0.0	1000.0
260	604.80493	0.0	1000.0
261	610.2482	0.0	1000.0
262	658.99585	0.0	1000.0
263	667.6676	0.0	1000.0
264	583.54675	0.0	1000.0
265	650.1787	0.0	1000.0
266	568.62396	0.0	1000.0
267	651.8986	0.0	1000.0
268	642.5687	0.0	1000.0
269	610.39636	0.0	1000.0
270	667.15	0.0	1000.0
271	616.46	0.0	1000.0
272	630.03485	0.0	1000.0
273	654.37085	0.0	1000.0
274	597.12695	0.0	1000.0
275	670.4906	0.0	1000.0
276	591.7576	0.0	1000.0
277	589.8028	0.0	1000.0
278	641.3808	0.0	1000.0
279	547.2482	0.0	1000.0
280	547.0496	0.0	1000.0
281	637.8022	0.0	1000.0
282	743.4208	0.0	1000.0
283	670.5083	0.0	1000.0
284	639.21344	0.0	1000.0
285	668.6538	0.0	1000.0
286	699.8932	0.0	1000.0
287	585.91437	0.0	1000.0
288	624.58923	0.0	1000.0
289	665.6109	0.0	1000.0
290	650.8301	0.0	1000.0
291	671.0639	0.0	1000.0
292	593.2093	0.0	1000.0
293	597.37286	0.0	1000.0
294	660.346	0.0	1000.0
295	653.021	0.0	1000.0
296	651.1929	0.0	1000.0
297	715.8265	0.0	1000.0
298	690.42847	0.0	1000.0
299	595.45416	0.0	1000.0
300	654.28534	0.0	1000.0
301	468.07114	0.0	833.0
302	663.5285	0.0	1000.0
303	632.37726	0.0	1000.0
304	617.54443	0.0	1000.0
305	586.946	0.0	1000.0
306	636.5462	0.0	1000.0
307	714.7142	0.0	1000.0
308	597.74207	0.0	1000.0
309	550.89325	0.0	1000.0
310	715.164	0.0	1000.0
311	626.0344	0.0	1000.0
312	675.5236	0.0	1000.0
313	645.2653	0.0	1000.0
314	734.6741	0.0	1000.0
315	647.7934	0.0	1000.0
316	566.252	0.0	1000.0
317	647.0474	0.0	1000.0
318	702.8308	0.0	1000.0
319	577.10925	0.0	1000.0
320	654.6772	0.0	1000.0
321	716.5773	0.0	1000.0
322	657.7448	0.0	1000.0
323	607.9318	0.0	1000.0
324	610.90906	0.0	1000.0
325	609.20966	0.0	1000.0
326	568.11804	0.0	1000.0
327	679.109	0.0	1000.0
328	596.81024	0.0	1000.0
329	654.12537	0.0	1000.0
330	673.8418	0.0	1000.0
331	690.612	0.0	1000.0
332	653.7771	0.0	1000.0
333	636.0593	0.0	1000.0
334	652.1734	0.0	1000.0
335	687.06683	0.0	1000.0
336	638.00195	0.0	1000.0
337	663.96564	0.0	1000.0
338	677.41644	0.0	1000.0
339	652.6486	0.0	1000.0
340	701.1733	0.0	1000.0
341	668.2352	0.0	1000.0
342	725.6796	0.0	1000.0
343	677.7146	0.0	1000.0
344	645.21246	0.0	1000.0
345	638.90424	0.0	1000.0
346	614.28503	0.0	1000.0
347	650.0989	0.0	1000.0
348	666.62213	0.0	1000.0
349	695.9536	0.0	1000.0
350	596.2365	0.0	1000.0
351	658.11865	0.0	1000.0
352	633.87213	0.0	1000.0
353	684.7016	0.0	1000.0
354	600.6832	0.0	1000.0
355	664.1334	0.0	1000.0
356	683.3828	0.0	1000.0
357	704.4942	0.0	1000.0
358	692.0708	0.0	1000.0
359	679.3394	0.0	1000.0
360	589.5985	0.0	1000.0
361	614.8555	0.0	1000.0
362	652.68286	0.0	1000.0
363	684.5628	0.0	1000.0
364	740.0521	0.0	1000.0
365	634.2039	0.0	1000.0
366	605.7261	0.0	1000.0
367	682.11395	0.0	1000.0
368	600.87115	0.0	1000.0
369	658.39014	0.0	1000.0
370	660.0621	0.0	1000.0
371	649.38336	0.0	1000.0
372	704.7536	0.0	1000.0
373	693.18896	0.0	1000.0
374	555.4551	0.0	1000.0
375	690.7108	0.0	1000.0
376	673.17365	0.0	1000.0
377	675.1084	0.0	1000.0
378	639.2318	0.0	1000.0
379	666.5007	0.0	1000.0
380	715.04663	0.0	1000.0
381	695.44794	0.0	1000.0
382	702.1034	0.0	1000.0
383	659.56793	0.0	1000.0
384	676.674	0.0	1000.0
385	623.92865	0.0	1000.0
386	699.0413	0.0	1000.0
387	616.85614	0.0	1000.0
388	724.5355	0.0	1000.0
389	663.82056	0.0	1000.0
390	632.95087	0.0	1000.0
391	709.9472	0.0	1000.0
392	648.3211	0.0	1000.0
393	733.6753	0.0	1000.0
394	572.0896	0.0	1000.0
395	625.8905	0.0	1000.0
396	681.8679	0.0	1000.0
397	625.46686	0.0	1000.0
398	667.10547	0.0	1000.0
399	684.8297	0.0	1000.0
400	695.7898	0.0	1000.0
401	748.8875	0.0	1000.0
402	689.54565	0.0	1000.0
403	615.5029	0.0	1000.0
404	665.214	0.0	1000.0
405	740.28864	0.0	1000.0
406	733.91345	0.0	1000.0
407	658.35	0.0	1000.0
408	663.8834	0.0	1000.0
409	700.72864	0.0	1000.0
410	707.9071	0.0	1000.0
411	663.149	0.0	1000.0
412	622.06244	0.0	1000.0
413	627.29736	0.0	1000.0
414	609.8747	0.0	1000.0
415	669.7981	0.0	1000.0
416	654.64813	0.0	1000.0
417	681.02405	0.0	1000.0
418	736.59845	0.0	1000.0
419	688.6657	0.0	1000.0
420	645.4556	0.0	1000.0
421	696.8456	0.0	1000.0
422	735.1955	0.0	1000.0
423	623.0071	0.0	1000.0
424	653.8336	0.0	1000.0
425	652.1116	0.0	1000.0
426	638.7726	0.0	1000.0
427	666.6292	0.0	1000.0
428	667.67206	0.0	1000.0
429	719.9444	0.0	1000.0
430	697.81604	0.0	1000.0
431	739.8812	0.0	1000.0
432	623.14984	0.0	1000.0
433	557.01514	0.0	1000.0
434	717.5986	0.0	1000.0
435	682.81744	0.0	1000.0
436	714.2614	0.0	1000.0
437	752.07104	0.0	1000.0
438	602.4119	0.0	1000.0
439	611.4958	0.0	1000.0
440	680.6208	0.0	1000.0
441	616.5903	0.0	1000.0
442	638.18024	0.0	1000.0
443	669.5544	0.0	1000.0
444	692.055	0.0	1000.0
445	701.2234	0.0	1000.0
446	655.88135	0.0	1000.0
447	607.4518	0.0	1000.0
448	633.9026	0.0	1000.0
449	741.6613	0.0	1000.0
450	658.58246	0.0	1000.0
451	653.9822	0.0	1000.0
452	653.07294	0.0	1000.0
453	667.2371	0.0	1000.0
454	712.43884	0.0	1000.0
455	681.8312	0.0	1000.0
456	654.5457	0.0	1000.0
457	678.27826	0.0	1000.0
458	706.73804	0.0	1000.0
459	673.7761	0.0	1000.0
460	657.14856	0.0	1000.0
461	659.6397	0.0	1000.0
462	722.1519	0.0	1000.0
463	642.68445	0.0	1000.0
464	662.45184	0.0	1000.0
465	702.2753	0.0	1000.0
466	687.1629	0.0	1000.0
467	700.20044	0.0	1000.0
468	768.71246	0.0	1000.0
469	698.6759	0.0	1000.0
470	618.8337	0.0	1000.0
471	741.0132	0.0	1000.0
472	684.8216	0.0	1000.0
473	744.45807	0.0	1000.0
474	662.1955	0.0	1000.0
475	621.9691	0.0	1000.0
476	694.60016	0.0	1000.0
477	652.1813	0.0	1000.0
478	638.53156	0.0	1000.0
479	733.47266	0.0	1000.0
480	677.376	0.0	1000.0
481	628.88666	0.0	1000.0
482	657.6339	0.0	1000.0
483	662.93	0.0	1000.0
484	699.0077	0.0	1000.0
485	703.02313	0.0	1000.0
486	663.6735	0.0	1000.0
487	702.3629	0.0	1000.0
488	684.0518	0.0	1000.0
489	656.5446	0.0	1000.0
490	682.6657	0.0	1000.0
491	677.7594	0.0	1000.0
492	661.3309	0.0	1000.0
493	726.4534	0.0	1000.0
494	703.4458	0.0	1000.0
495	628.05426	0.0	1000.0
496	636.65625	0.0	1000.0
497	684.4587	0.0	1000.0
498	629.49426	0.0	1000.0
499	684.75494	0.0	1000.0
500	736.54047	0.0	1000.0
501	726.0554	0.0	1000.0
502	732.17706	0.0	1000.0
503	682.401	0.0	1000.0
504	715.0618	0.0	1000.0
505	669.83826	0.0	1000.0
506	670.3012	0.0	1000.0
507	711.8088	0.0	1000.0
508	722.67725	0.0	1000.0
509	669.47943	0.0	1000.0
510	708.8301	0.0	1000.0
511	649.06335	0.0	1000.0
512	693.63275	0.0	1000.0
513	682.3803	0.0	1000.0
514	644.7337	0.0	1000.0
515	734.7254	0.0	1000.0
516	703.6089	0.0	1000.0
517	644.6825	0.0	1000.0
518	753.29395	0.0	1000.0
519	692.26056	0.0	1000.0
520	734.3315	0.0	1000.0
521	651.92035	0.0	1000.0
522	680.87665	0.0	1000.0
523	732.79803	0.0	1000.0
524	737.61005	0.0	1000.0
525	695.4927	0.0	1000.0
526	701.4339	0.0	1000.0
527	744.90656	0.0	1000.0
528	799.5081	0.0	1000.0
529	715.8577	0.0	1000.0
530	777.096	0.0	1000.0
531	724.10333	0.0	1000.0
532	691.8911	0.0	1000.0
533	731.98096	0.0	1000.0
534	710.8028	0.0	1000.0
535	662.847	0.0	1000.0
536	683.5832	0.0	1000.0
537	686.1661	0.0	1000.0
538	680.7456	0.0	1000.0
539	686.6979	0.0	1000.0
540	707.77997	0.0	1000.0
541	751.4265	0.0	1000.0
542	663.1598	0.0	1000.0
543	721.0061	0.0	1000.0
544	694.63916	0.0	1000.0
545	693.87646	0.0	1000.0
546	751.3349	0.0	1000.0
547	757.136	0.0	1000.0
548	620.034	0.0	1000.0
549	754.6683	0.0	1000.0
550	641.4907	0.0	1000.0
551	725.91254	0.0	1000.0
552	708.37415	0.0	1000.0
553	681.7622	0.0	1000.0
554	737.64105	0.0	1000.0
555	716.9264	0.0	1000.0
556	769.2437	0.0	1000.0
557	699.80524	0.0	1000.0
558	709.335	0.0	1000.0
559	683.01544	0.0	1000.0
560	744.3266	0.0	1000.0
561	626.4372	0.0	1000.0
562	681.22485	0.0	1000.0
563	704.71906	0.0	1000.0
564	702.16254	0.0	1000.0
565	720.651	0.0	1000.0
566	706.725	0.0	1000.0
567	647.62286	0.0	1000.0
568	627.5703	0.0	1000.0
569	726.7936	0.0	1000.0
570	613.9144	0.0	1000.0
571	707.926	0.0	1000.0
572	787.9031	0.0	1000.0
573	780.2701	0.0	1000.0
574	724.5328	0.0	1000.0
575	675.62256	0.0	1000.0
576	754.69385	0.0	1000.0
577	682.4393	0.0	1000.0
578	732.83374	0.0	1000.0
579	717.6492	0.0	1000.0
580	760.10345	0.0	1000.0
581	757.7759	0.0	1000.0
582	744.48254	0.0	1000.0
583	710.7566	0.0	1000.0
584	722.6006	0.0	1000.0
585	702.3361	0.0	1000.0
586	697.5051	0.0	1000.0
587	675.29803	0.0	1000.0
588	682.8549	0.0	1000.0
589	723.2749	0.0	1000.0
590	702.23834	0.0	1000.0
591	779.72186	0.0	1000.0
592	676.8497	0.0	1000.0
593	744.63605	0.0	1000.0
594	738.2254	0.0	1000.0
595	637.86316	0.0	1000.0
596	753.85547	0.0	1000.0
597	757.0065	0.0	1000.0
598	729.6597	0.0	1000.0
599	744.66797	0.0	1000.0
600	700.8325	0.0	1000.0
601	760.4672	0.0	1000.0
602	743.2085	0.0	1000.0
603	616.3731	0.0	1000.0
604	666.44824	0.0	1000.0
605	755.0795	0.0	1000.0
606	686.58594	0.0	1000.0
607	706.72406	0.0	1000.0
608	752.76794	0.0	1000.0
609	787.20465	0.0	1000.0
610	699.48883	0.0	1000.0
611	713.86566	0.0	1000.0
612	707.9378	0.0	1000.0
613	737.0514	0.0	1000.0
614	747.39484	0.0	1000.0
615	731.82684	0.0	1000.0
616	709.8277	0.0	1000.0
617	787.818	0.0	1000.0
618	721.9307	0.0	1000.0
619	671.5841	0.0	1000.0
620	740.1554	0.0	1000.0
621	748.74066	0.0	1000.0
622	715.7932	0.0	1000.0
623	726.52826	0.0	1000.0
624	726.256	0.0	1000.0
625	665.57697	0.0	1000.0
626	689.4163	0.0	1000.0
627	710.66815	0.0	1000.0
628	776.51685	0.0	1000.0
629	748.5972	0.0	1000.0
630	778.76324	0.0	1000.0
631	805.47107	0.0	1000.0
632	738.6973	0.0	1000.0
633	787.2545	0.0	1000.0
634	621.6921	0.0	1000.0
635	721.27704	0.0	1000.0
636	771.277	0.0	1000.0
637	744.3572	0.0	1000.0
638	735.11115	0.0	1000.0
639	641.9408	0.0	1000.0
640	773.3531	0.0	1000.0
641	794.2262	0.0	1000.0
642	785.51086	0.0	1000.0
643	770.92505	0.0	1000.0
644	740.4644	0.0	1000.0
645	729.692	0.0	1000.0
646	766.4076	0.0	1000.0
647	749.33624	0.0	1000.0
648	731.45844	0.0	1000.0
649	735.3896	0.0	1000.0
650	758.9411	0.0	1000.0
651	741.9601	0.0	1000.0
652	744.7684	0.0	1000.0
653	741.3717	0.0	1000.0
654	735.72845	0.0	1000.0
655	751.6689	0.0	1000.0
656	697.2956	0.0	1000.0
657	683.75165	0.0	1000.0
658	678.75616	0.0	1000.0
659	769.5186	0.0	1000.0
660	677.0886	0.0	1000.0
661	728.2972	0.0	1000.0
662	726.29	0.0	1000.0
663	726.8703	0.0	1000.0
664	718.40704	0.0	1000.0
665	677.6767	0.0	1000.0
666	772.9639	0.0	1000.0
667	766.2429	0.0	1000.0
668	768.9511	0.0	1000.0
669	715.62256	0.0	1000.0
670	732.8336	0.0	1000.0
671	771.48773	0.0	1000.0
672	777.5401	0.0	1000.0
673	700.02875	0.0	1000.0
674	724.2063	0.0	1000.0
675	766.4751	0.0	1000.0
676	756.5719	0.0	1000.0
677	783.82056	0.0	1000.0
678	733.93414	0.0	1000.0
679	764.40497	0.0	1000.0
680	774.2079	0.0	1000.0
681	767.15295	0.0	1000.0
